Array Sum Test
Size,Time (μs)
512,512000,1,True
1024,256000,3,True
2048,128000,6,True
4096,64000,13,True
8192,32000,26,True
16384,16000,43,True
32768,8000,109,True
65536,4000,208,True
131072,2000,438,True
262144,1000,1000,True
Array Sum Test
Size,Time (μs)
512,512000,0,True
1024,256000,1,True
2048,128000,2,True
4096,64000,7,True
8192,32000,12,True
16384,16000,28,True
32768,8000,56,True
65536,4000,107,True
131072,2000,213,True
262144,1000,408,True
Array Sum Test
Size,Time (μs)
512,512000,1,True
1024,256000,3,True
2048,128000,5,True
4096,64000,9,True
8192,32000,18,True
16384,16000,37,True
32768,8000,74,True
65536,4000,151,True
131072,2000,342,True
262144,1000,1063,True
Array Sum Test
Size,Time (μs)
512,512000,3,True
1024,256000,7,True
2048,128000,14,True
4096,64000,27,True
8192,32000,55,True
16384,16000,110,True
32768,8000,242,True
65536,4000,469,True
131072,2000,1169,True
262144,1000,2079,True
