Array Sum Test
Size,Time (μs)
512,512000,769690,True
1024,256000,662416,True
2048,128000,782320,True
4096,64000,665686,True
8192,32000,685054,True
16384,16000,679832,True
32768,8000,721134,True
65536,4000,663850,True
131072,2000,700526,True
262144,1000,708180,True
Array Sum Test
Size,Time (μs)
512,512000,341851,True
1024,256000,348492,True
2048,128000,355427,True
4096,64000,367362,True
8192,32000,367561,True
16384,16000,344994,True
32768,8000,385968,True
65536,4000,373759,True
131072,2000,428047,True
262144,1000,429959,True
Array Sum Test
Size,Time (μs)
512,512000,702154,True
1024,256000,544529,True
2048,128000,520387,True
4096,64000,640865,True
8192,32000,513594,True
16384,16000,657851,True
32768,8000,545920,True
65536,4000,518457,True
131072,2000,578724,True
262144,1000,1.01418e+06,True
Array Sum Test
Size,Time (μs)
512,512000,2.14276e+06,True
1024,256000,1.70666e+06,True
2048,128000,1.82151e+06,True
4096,64000,1.58736e+06,True
8192,32000,1.53884e+06,True
16384,16000,1.3956e+06,True
32768,8000,1.37131e+06,True
65536,4000,1.71346e+06,True
131072,2000,2.15063e+06,True
262144,1000,1.96908e+06,True
