Matrix-Vector Multiplication Test
Size,Time (μs)
8,51200,8265.2,True
16,25600,16166.8,True
32,12800,33728.6,True
64,6400,70202.2,True
128,3200,137129,True
256,1600,272702,True
512,800,559257,True
1024,400,1.10462e+06,True
2048,200,2.56663e+06,True
4096,100,4.98847e+06,True
