Array Sum Test
Size,Time (μs)
512,512000,1,True
1024,256000,3,True
2048,128000,7,True
4096,64000,15,True
8192,32000,29,True
16384,16000,59,True
32768,8000,119,True
65536,4000,236,True
131072,2000,469,True
262144,1000,965,True
Array Sum Test
Size,Time (μs)
512,512000,0,True
1024,256000,1,True
2048,128000,3,True
4096,64000,7,True
8192,32000,15,True
16384,16000,32,True
32768,8000,61,True
65536,4000,129,True
131072,2000,247,True
262144,1000,495,True
Array Sum Test
Size,Time (μs)
512,512000,1,True
1024,256000,3,True
2048,128000,5,True
4096,64000,11,True
8192,32000,22,True
16384,16000,55,True
32768,8000,98,True
65536,4000,186,True
131072,2000,331,True
262144,1000,1235,True
Array Sum Test
Size,Time (μs)
512,512000,4,True
1024,256000,8,True
2048,128000,16,True
4096,64000,35,True
8192,32000,69,True
16384,16000,134,True
32768,8000,280,True
65536,4000,566,True
131072,2000,1540,True
262144,1000,3094,True
